"","affy_hg_u133_plus_2","external_gene_name"
"812","202549_at","VAPB"
"813","202550_s_at","VAPB"
"814","202998_s_at","LOXL2"
"815","202997_s_at","LOXL2"
"816","202999_s_at","LOXL2"
"817","204050_s_at","CLTA"
"818","200960_x_at","CLTA"
"819","204077_x_at","ENTPD4"
"820","204076_at","ENTPD4"
"821","201868_s_at","TBL1X"
"822","201869_s_at","TBL1X"
"823","201867_s_at","TBL1X"
"824","204595_s_at","STC1"
"825","204597_x_at","STC1"
"826","204596_s_at","STC1"
"827","203392_s_at","CTBP1"
"828","201715_s_at","ACIN1"
"829","204825_at","MELK"
"830","200981_x_at","GNAS"
"831","200780_x_at","GNAS"
"832","203637_s_at","MID1"
"833","203636_at","MID1"
"834","202157_s_at","CELF2"
"835","202156_s_at","CELF2"
"836","202158_s_at","CELF2"
"837","202752_x_at","SLC7A8"
"838","203745_at","HCCS"
"839","203746_s_at","HCCS"
"840","202313_at","PPP2R2A"
"841","201544_x_at","BCL2L2-PABPN1"
"842","201545_s_at","BCL2L2-PABPN1"
"843","204379_s_at","FGFR3"
"844","204380_s_at","FGFR3"
"845","201544_x_at","PABPN1"
"846","201545_s_at","PABPN1"
"847","204761_at","USP6NL"
"848","204400_at","EFS"
"849","203519_s_at","UPF2"
"850","200762_at","DPYSL2"
"851","204737_s_at","MYH6"
"852","201347_x_at","GRHPR"
"853","204737_s_at","MYH7"
"854","203026_at","ZBTB5"
"855","204657_s_at","AL138752.2"
"856","201725_at","CDC123"
"857","203112_s_at","NELFA"
"858","201613_s_at","AP1G2"
"859","204656_at","SHB"
"860","204657_s_at","SHB"
