"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"216650_at",-0.11635415262551,5.10788136713159,-1.38294563793425,0.188304992988531,0.607927920802817,-5.15570939682185,"AL008627.1"
"207315_at",0.104942785653312,4.21037940099406,1.38289002431868,0.188321677742564,0.607927920802817,-5.15577754884715,"CD226"
"208325_s_at",0.143311425356173,5.84236488895412,1.38268113373616,0.188384358237812,0.607927920802817,-5.15603351676052,"AKAP13"
"211299_s_at",-0.107453148059436,5.47744648695944,-1.38255299991464,0.188422815001898,0.607927920802817,-5.15619051362542,"FLOT2"
"210413_x_at",-0.0693349023044745,3.28632859698841,-1.38254026087082,0.18842663871822,0.607927920802817,-5.15620612163541,"SERPINB4"
"201338_x_at",-0.0496052582056848,12.4913619224,-1.38210622698474,0.18855695507292,0.608018252975572,-5.15673784042119,"GTF3A"
"202675_at",0.0647685598059227,10.1911452464149,1.38187960209941,0.188625027280875,0.608018252975572,-5.15701542066444,"SDHB"
"212193_s_at",0.0817089853175999,8.53098347783608,1.38184797267021,0.188634529535563,0.608018252975572,-5.15705415909664,"LARP1"
"207927_at",-0.0489635583115169,3.47351037936225,-1.38172301075345,0.188672074983957,0.608018252975572,-5.15720720087653,"HTR7"
"212314_at",-0.1140111893628,7.41030243943499,-1.38169529335632,0.18868040364634,0.608018252975572,-5.15724114517797,"SEL1L3"
"208875_s_at",-0.0728851989885155,7.62184459012429,-1.38144997095684,0.188754132462789,0.608018252975572,-5.15754155880009,"PAK2"
"213579_s_at",-0.0909770348219419,6.29603827592636,-1.38135519631789,0.188782622197361,0.608018252975572,-5.15765760600232,"EP300"
"220913_at",-0.0938476272626942,3.33704284469101,-1.38119099164324,0.188831991277538,0.608018252975572,-5.15785865303957,NA
"40569_at",0.0922065632231877,4.68280350937696,1.38114407275682,0.188846099650392,0.608018252975572,-5.15791609577216,"MZF1"
"200975_at",-0.0528218920567256,10.8919218117388,-1.38110834643807,0.188856843028867,0.608018252975572,-5.15795983448202,"PPT1"
"202787_s_at",-0.0736761064627742,7.67372523080145,-1.3810111973566,0.188886059575783,0.608018252975572,-5.1580787670537,"MAPKAPK3"
"220879_at",-0.0742844954266844,3.62285426421933,-1.38098496406493,0.188893949591499,0.608018252975572,-5.15811088149881,NA
"201186_at",0.0779727602444107,7.48848006540845,1.38085551396688,0.188932887398792,0.608018252975572,-5.15826934591337,"LRPAP1"
"208319_s_at",0.0965713586193055,9.69614320806682,1.38080475097378,0.188948158392223,0.608018252975572,-5.15833148365143,"RBM3"
"214540_at",0.112081997319203,3.38185441708742,1.38047674991485,0.189046855043486,0.608222375637017,-5.15873294062713,"H2BC17"
"46270_at",-0.0804732963960869,7.27051328539439,-1.38026781369669,0.18910974665271,0.608311247718379,-5.15898863104676,"UBAP1"
"38290_at",0.0775324278448482,4.07408968508664,1.38002305672321,0.189183442379571,0.608387941027537,-5.15928812118163,"RGS14"
"221372_s_at",0.0777212762775276,3.99854019749867,1.37979603704281,0.189251818442297,0.608387941027537,-5.15956587212158,"P2RX2"
"220458_at",-0.0721562967785391,4.34896371476508,-1.37972972754531,0.189271794014064,0.608387941027537,-5.15964699312288,NA
"221569_at",-0.0678022543911737,6.73179769663387,-1.37972014580294,0.189274680632755,0.608387941027537,-5.15965871489132,"AHI1"
