"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1416504_at",0.197819750000001,7.332805125,3.37391004221938,0.00696027259739889,0.999954907561919,-2.75843131932572,"Ulk1"
"1419907_s_at",0.197675750000001,4.864536125,3.37150764879623,0.00698864663676013,0.999954907561919,-2.76041183944595,"Fcrla"
"1450820_a_at",-0.19511925,4.994310625,-3.35677915411713,0.00716522506351063,0.999954907561919,-2.77257291100873,"Ntng2"
"1450951_at",0.1755895,7.707827,3.34649522309746,0.00729123666572954,0.999954907561919,-2.78108346076149,"Smc3"
"1421357_at",0.193933500000001,7.00567275,3.33337753819527,0.00745528877218732,0.999954907561919,-2.7919619966398,"Gtf2a1"
"1422649_at",0.19216175,4.527956125,3.31966024756985,0.00763090577115016,0.999954907561919,-2.80336509386787,"Cntn6"
"1422061_at",0.2461275,4.70014825,3.30206670209,0.00786239460998629,0.999954907561919,-2.81803110045293,"Akr1c20"
"1431527_at",0.18163125,5.037213625,3.29585260437738,0.00794587184882478,0.999954907561919,-2.82322202565936,"Cd164"
"1452342_at",-0.22816,6.44195925,-3.26815747927137,0.00832913307193539,0.999954907561919,-2.84642534257251,"Apbb2"
"1453515_at",0.189856000000001,5.71394925,3.24138525675572,0.00871767310323194,0.999954907561919,-2.86896044057296,"Ppp2r3c"
"1421650_at",0.227881500000001,6.28425325,3.23515512772332,0.00881072655980464,0.999954907561919,-2.87421920843617,"Mepe"
