"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1419755_at"	6.158251	6.079238	6.133495	6.179631	6.154108	6.22142	6.202941	6.319073
"1419756_at"	4.434453	4.371253	4.678072	4.444182	4.553412	4.405342	4.609362	4.648782
"1419757_at"	8.215255	7.964822	8.071495	8.074766	8.232555	8.067356	8.195502	8.180486
"1419758_at"	6.777122	6.638712	6.027539	6.317906	6.400867	6.570857	5.935734	6.141771
"1419759_at"	7.810733	7.577665	7.418944	7.474209	7.759434	7.570959	7.142846	7.350541
"1419760_a_at"	8.473703	8.490875	8.556555	8.447534	8.491455	8.327372	8.475526	8.601938
"1419761_a_at"	9.878948	9.910809	9.87467	9.659787	9.914428	9.837606	9.900139	9.823942
"1419762_at"	5.032241	5.157047	5.182266	5.123248	5.07377	5.153145	5.087333	5.107635
"1419763_at"	5.191596	5.109277	5.206871	5.365808	5.297388	5.177649	5.007147	5.16627
"1419764_at"	4.360329	4.64361	4.536962	4.583612	4.658786	4.431604	4.536051	4.448632
"1419765_at"	7.168146	7.056947	6.79326	6.912876	7.317172	6.956644	7.094196	6.996329
"1419766_at"	8.457324	8.359677	8.587957	8.278173	8.395889	8.432693	8.412199	8.261048
